SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE;;;
251,Sydney,Epping,NSW,2121,151.072144,-33.77689;;;
252,Sydney,Ermington,NSW,2115,151.060127,-33.81002;;;
253,Sydney,Erskineville,NSW,2043,151.184006,-33.899651;;;
254,Sydney,Eveleigh,NSW,2015,151.193726,-33.897629;;;
255,Sydney,Fairfield,NSW,2165,150.953232,-33.871849;;;
256,Sydney,Dean;Park,NSW,2761,150.852097,-33.73531;;
257,Sydney,Fairfield;East,NSW,2165,150.975449,-33.87656;;
258,Sydney,Fairfield;Heights,NSW,2165,150.939926,-33.86536;;
259,Sydney,Denham;Court,NSW,2565,150.84993,-33.977718;;
260,Sydney,Fairfield;West,NSW,2165,150.923004,-33.86916;;
261,Sydney,Fairlight,NSW,2094,151.271851,-33.7911;;;
262,Sydney,Fiddletown,NSW,2159,151.161026,-33.897358;;;
263,Sydney,Five;Dock,NSW,2046,151.128693,-33.87104;;
264,Sydney,Dharruk,NSW,2770,150.816483,-33.747768;;;
265,Sydney,Forest;Glen,NSW,2157,151.037079,-33.721104;;
266,Sydney,Diamond;Bay,NSW,2030,151.283752,-33.860371;;
267,Sydney,Forest;Lodge,NSW,2037,151.181824,-33.882561;;
268,Sydney,Dobroyd;Point,NSW,2045,151.147064,-33.87014;;
269,Sydney,Forestville,NSW,2087,151.216537,-33.7616;;;
270,Sydney,Dolans;Bay,NSW,2229,151.125488,-34.063259;;
271,Sydney,Frenchs;Forest,NSW,2086,151.234756,-33.75082;;
273,Sydney,Doonside,NSW,2767,150.869324,-33.764561;;;
275,Sydney,Galston,NSW,2159,151.098724,-33.691364;;;
276,Sydney,Douglas;Park,NSW,2569,151.281723,-33.87973;;
277,Sydney,Georges;Hall,NSW,2198,150.989349,-33.905769;;
278,Sydney,Girraween,NSW,2145,150.946457,-33.799389;;;
279,Sydney,Gladesville,NSW,2111,151.12616,-33.83147;;;
280,Sydney,Glebe,NSW,2037,151.184937,-33.877201;;;
281,Sydney,Glenfield,NSW,2167,150.889992,-33.97221;;;
282,Sydney,Glenhaven,NSW,2156,151.00238,-33.698872;;;
283,Sydney,Glenorie,NSW,2157,151.13121,-33.654793;;;
284,Sydney,Dunheved,NSW,2760,150.774521,-33.746338;;;
285,Sydney,Gordon,NSW,2072,151.153336,-33.75761;;;
286,Sydney,Granville,NSW,2142,151.009583,-33.833309;;;
287,Sydney,Eagle;Vale,NSW,2558,150.818024,-34.03244;;
289,Sydney,Green;Valley,NSW,2168,150.866516,-33.90274;;
290,Sydney,East;Botany,NSW,2019,151.204514,-33.954426;;
291,Sydney,Greenacre,NSW,2190,151.057816,-33.892689;;;
292,Sydney,East;Gordon,NSW,2072,151.089096,-33.786404;;
293,Sydney,Greenfield;Park,NSW,2176,150.889816,-33.873299;;
294,Sydney,Greenwich,NSW,2065,151.187744,-33.827122;;;
295,Sydney,Greystanes,NSW,2145,150.947647,-33.819012;;;
296,Sydney,East;Kurrajong,NSW,2758,150.863708,-33.941643;;
297,Sydney,Guildford,NSW,2161,150.990494,-33.854881;;;
298,Sydney,Guildford;West,NSW,2161,150.961975,-33.847431;;
299,Sydney,East;Roseville,NSW,2069,151.197372,-33.790207;;
300,Sydney,Haberfield,NSW,2045,151.139252,-33.881008;;;
301,Sydney,Hammondville,NSW,2170,150.950531,-33.948891;;;
302,Sydney,East;Sydney,NSW,2010,151.215675,-33.8829;;
303,Sydney,Harris;Park,NSW,2150,151.019897,-33.81897;;
304,Sydney,East;Wahroonga,NSW,2076,151.176971,-33.758224;;
305,Sydney,Haymarket,NSW,2000,151.2052,-33.880051;;;
306,Sydney,Eastern;Creek,NSW,2766,150.60405,-33.99469;;
307,Sydney,Heckenberg,NSW,2168,150.891281,-33.909279;;;
